#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
7.0,May 167:08 PM,Long Island,Lancaster,4-6,"McAvene, M","Washington, M",final|,7,6,0.197,0.0192
7.0,May 167:06 PM,Gastonia,Staten Island,9-2,"Sheffield, J","Mejia, A",final|,7,7,0.0004,0.0094
7.0,May  97:20 PM,Lancaster,Long Island,1-11,"Gant, J","Swarmer, M",final|,7,7,0.0192,0.197
7.0,May 136:38 PM,Staten Island,Charleston,3-7,"Meza, C","Capuano, C",final|,7,7,0.0094,0.0008
7.0,May  97:04 PM,Staten Island,Lexington,1-11,"Eastman, C","Mejia, A",final|,8,7,0.0094,0.0316
7.0,May  96:37 PM,Charleston,S Maryland,6-7,"Sherfy, J","Demurias, E",final|,7,7,0.0008,
7.0,May  75:05 PM,Hagerstown,York,2-4,"Denoyer, N","Richardson, D",final|,7,7,0.0,0.7744
7.0,May  97:04 PM,High Point,Gastonia,9-10,"Myatt, T","Lewis, J",final|,7,7,0.9672,0.0004
8.0,May 176:52 PM,Long Island,Lancaster,2-5,"Brennan, T","Hillman, J",final|,8,7,0.197,0.0192
8.0,May 176:37 PM,Lexington,High Point,0-17,"Solter, M","Castillo, W",final|,8,8,0.0316,0.9672
8.0,May 171:03 PM,Gastonia,Staten Island,3-4,"Allegretti, C","Myatt, T",final|,8,8,0.0004,0.0094
8.0,May  43:37 PM,Lexington,High Point,0-5,"Emanuel, K","Eastman, C",final|,9,9,0.0316,0.9672
8.0,May  78:01 PM,Hagerstown,York,3-2,"Kelly, R","Dula, H",final|,8,8,0.0,0.7744
8.0,May 142:20 PM,Lancaster,Hagerstown,2-3,"Maruskin, J","Rees, J",final|,8,7,0.0192,0.0
8.0,May 146:41 PM,Staten Island,Charleston,5-7,"Hill, J","Mahoney, J",final|,9,8,0.0094,0.0008
8.0,May 106:35 PM,Lancaster,Long Island,0-1,"Plesac, Z","Killgore, K",final|,9,8,0.0192,0.197
8.0,May 106:39 PM,Charleston,S Maryland,7-2,"Sampson, K","Hennessey, J",final|,8,8,0.0008,
8.0,May 107:00 PM,Staten Island,Lexington,2-3,"Haab, J","Meeker, J",final|,10,8,0.0094,0.0316
8.0,May 107:18 PM,High Point,Gastonia,4-2,"Backman, B","Kruglewicz, P",final|,8,8,0.9672,0.0004
9.0,May  811:03 AM,Hagerstown,York,7-11,"Pace, F","Kickham, M",final|,9,9,0.0,0.7744
9.0,May 181:37 PM,Gastonia,Staten Island,7-8,"Andrews, T","Horvath, N",final|,9,9,0.0004,0.0094
9.0,May 111:34 PM,Lancaster,Long Island,2-3,"Melville, T","Gilliam, R",final|,10,9,0.0192,0.197
9.0,May 112:03 PM,Staten Island,Lexington,1-7,"Castillo, W","Williamson, R",final|,11,9,0.0094,0.0316
9.0,May 114:03 PM,High Point,Gastonia,5-4,"Edwards, J","Blanton, B",final|,9,9,0.9672,0.0004
9.0,May 156:40 PM,Staten Island,Charleston,9-2,"Meeker, J","Del Prado, N",final|,12,9,0.0094,0.0008
9.0,May 156:39 PM,Lancaster,Hagerstown,9-8,"Engler, S","Weisenburger, J",final|,11,8,0.0192,0.0
9.0,May 184:08 PM,Lexington,High Point,3-9,"Uelmen, E","Laio, N",final|,10,10,0.0316,0.9672
9.0,May 182:01 PM,Long Island,Lancaster,10-4,"Griffin, D","Bremer, N",final|,9,8,0.197,0.0192
9.0,May 112:09 PM,Charleston,S Maryland,2-3,"Vazquez, R","Gilman, N",final|,9,9,0.0008,
10.0,May 166:39 PM,S Maryland,Charleston,0-3,"Henriquez, J","Hennessey, J",final|,6,10,,0.0008
10.0,May 236:33 PM,S Maryland,Hagerstown,11-1,"Thurman, A","Martinez, J",final|,7,9,,0.0
10.0,May 167:18 PM,Hagerstown,York,2-12,"Palm, T","Martinez, J",final|,10,10,0.0,0.7744
10.0,May 1410:40 AM,York,S Maryland,0-3,"Semple, S","Walker, M",final|,7,10,0.7744,
10.0,May 206:50 PM,Hagerstown,Lancaster,5-14,"Skirrow, N","Richardson, D",final|,11,9,0.0,0.0192
10.0,May 206:37 PM,Long Island,Staten Island,8-6,"Asa, J","Meeker, J",final|,10,10,0.197,0.0094
10.0,May 136:47 PM,High Point,Lexington,6-7,"Laio, N","Uelmen, E",final|,10,10,0.9672,0.0316
10.0,May 206:32 PM,Lexington,Gastonia,4-6,"Thompson, C","Wicklander, P",final|,11,10,0.0316,0.0004
10.0,May 307:03 PM,Hagerstown,High Point,3-6,"Halbohn, K","Goodson, D",final|,12,11,0.0,0.9672
10.0,May 136:33 PM,Gastonia,Long Island,3-7,"Griffin, D","Wells, N",final|,10,10,0.0004,0.197
11.0,May 2112:32 PM,Lexington,Gastonia,7-6,"Ross, D","Snyder, N",final|,12,11,0.0316,0.0004
11.0,May 216:49 PM,Hagerstown,Lancaster,6-3,"Picone, D","Swarmer, M",final|,13,10,0.0,0.0192
11.0,May 246:06 PM,S Maryland,Hagerstown,9-7,"Hennessey, J","Corcino, D",final|,8,10,,0.0
11.0,May 2110:35 AM,Long Island,Staten Island,7-10,"McSweeney, M","Sharp, S",final|,11,11,0.197,0.0094
11.0,May 316:37 PM,Hagerstown,High Point,1-8,"Barraclough, K","Richardson, D",final|,14,12,0.0,0.9672
11.0,May 1410:31 AM,High Point,Lexington,5-2,"Barraclough, K","Wicklander, P",final|,11,11,0.9672,0.0316
11.0,May 176:39 PM,S Maryland,Charleston,3-9,"Sampson, K","Kelly, J",final|,9,11,,0.0008
11.0,May 176:36 PM,Hagerstown,York,5-7,"Galdoni, L","Corcino, D",final|,15,11,0.0,0.7744
11.0,May 141:06 PM,York,S Maryland,2-3,"Kahaloa, I","Churchill, I",final|,8,11,0.7744,
11.0,May 146:34 PM,Gastonia,Long Island,2-4,"Case, B","Scott, A",final|,11,11,0.0004,0.197
12.0,May 252:04 PM,S Maryland,Hagerstown,2-7,"Richardson, D","Semple, S",final|,10,11,,0.0
12.0,May 227:21 PM,Long Island,Staten Island,7-1,"Plesac, Z","Mejia, A",final|,12,12,0.197,0.0094
12.0,May 2211:07 AM,Hagerstown,Lancaster,5-7,"Rees, J","Kickham, M",final|,16,11,0.0,0.0192
12.0,May 183:08 PM,S Maryland,Charleston,5-8,"Lusk, L","Vazquez, R",final|,11,12,,0.0008
12.0,May 181:04 PM,Hagerstown,York,5-17,"Coles, C","Rivera, E",final|,17,12,0.0,0.7744
12.0,May 213:35 PM,Lexington,Gastonia,7-8,"Scott, A","Haab, J",final|,13,12,0.0316,0.0004
12.0,May 156:36 PM,Gastonia,Long Island,5-2,"Underwood Jr., D","Flores, B",final|,12,12,0.0004,0.197
12.0,May 156:37 PM,York,S Maryland,3-4,"McCabe, B","Robinson, C",final|,9,12,0.7744,
12.0,May 156:50 PM,High Point,Lexington,18-8,"Emanuel, K","Eastman, C",final|,12,12,0.9672,0.0316
12.0,Jun  14:31 PM,Hagerstown,High Point,0-6,"Emanuel, K","Picone, D",final|,18,13,0.0,0.9672
13.0,May 276:49 PM,York,Hagerstown,4-3,"Woolfolk, D","Picone, D",final|,10,12,0.7744,0.0
13.0,May 276:33 PM,Lancaster,Staten Island,3-9,"McSweeney, M","Lacey, S",final|,12,13,0.0192,0.0094
13.0,May 306:35 PM,Gastonia,S Maryland,,,,"Postponed to:May 31, 06:00 PM",13,13,0.0004,
13.0,Jun  36:37 PM,Charleston,High Point,5-4,"Demurias, E","Branche, S",final|,10,14,0.0008,0.9672
13.0,May 207:32 PM,High Point,Charleston,8-2,"Barraclough, K","Endersby, J",final|,13,13,0.9672,0.0008
13.0,May 206:34 PM,S Maryland,York,6-7,"Robinson, C","Sherfy, J",final|,12,13,,0.7744
13.0,May 237:03 PM,High Point,Gastonia,9-3,"Solter, M","Grey, C",final|,14,13,0.9672,0.0004
13.0,May 236:47 PM,York,Lancaster,0-3,"Killgore, K","Scott, W",final|,11,12,0.7744,0.0192
13.0,May 237:04 PM,Charleston,Lexington,3-1,"Henriquez, J","Tully, T",final|,11,13,0.0008,0.0316
13.0,May 236:38 PM,Staten Island,Long Island,9-1,"Allegretti, C","Hillman, J",final|,13,13,0.0094,0.197
14.0,May 246:33 PM,Staten Island,Long Island,4-3,"Baker, R","Williams, P",final|,14,14,0.0094,0.197
14.0,May 319:26 PM,Gastonia,S Maryland,7-3,"Sheffield, J","Campbell, M",final|,14,14,0.0004,
14.0,May 216:39 PM,S Maryland,York,5-4,"Kahaloa, I","Galdoni, L",final|,13,14,,0.7744
14.0,May 216:40 PM,High Point,Charleston,12-4,"Emanuel, K","Hill, J",final|,15,14,0.9672,0.0008
14.0,May 286:30 PM,Lancaster,Staten Island,,,,"Postponed to:May 29, 12:30 PM",13,14,0.0192,0.0094
14.0,May 2811:00 AM,York,Hagerstown,,,,"Postponed to:May 29, 04:00 PM",12,13,0.7744,0.0
14.0,Jun  46:37 PM,Charleston,High Point,2-3,"Solter, M","Henriquez, J",final|,12,15,0.0008,0.9672
14.0,May 246:49 PM,York,Lancaster,1-8,"Bremer, N","Denz, D",final|,13,13,0.7744,0.0192
14.0,May 247:01 PM,High Point,Gastonia,6-2,"Uelmen, E","Smith, K",final|,16,14,0.9672,0.0004
14.0,May 247:03 PM,Charleston,Lexington,4-5,"Haab, J","Reyes, S",final|,13,14,0.0008,0.0316
15.0,Jun  56:37 PM,Charleston,High Point,2-1,"Record, J","Ogle, B",final|,14,16,0.0008,0.9672
15.0,Jun  12:04 PM,Gastonia,S Maryland,12-5,"Underwood Jr., D","Miller, J",final|,15,15,0.0004,
15.0,May 296:58 PM,York,Hagerstown,4-0,"Scott, W","Reitz, M",final|,14,14,0.7744,0.0
15.0,Jun  22:07 PM,S Maryland,York,3-5,"Llovera, M","Semple, S",final|,14,15,,0.7744
15.0,May 251:33 PM,Staten Island,Long Island,2-3,"Melville, T","Higgins, C",final|,15,15,0.0094,0.197
15.0,May 252:03 PM,York,Lancaster,4-2,"Palm, T","Scafidi, C",final|,15,14,0.7744,0.0192
15.0,May 252:08 PM,Charleston,Lexington,4-2,"Lebron, D","Laio, N",final|,15,15,0.0008,0.0316
15.0,May 254:02 PM,High Point,Gastonia,13-12,"Lewis, J","Hennen, R",final|,17,15,0.9672,0.0004
15.0,May 226:43 PM,High Point,Charleston,2-7,"McGowin, K","Backman, B",final|,18,15,0.9672,0.0008
15.0,May 2910:31 AM,Lancaster,Staten Island,3-2,"Engler, S","Dunaway, M",final|,14,15,0.0192,0.0094
16.0,Jun  66:33 PM,Long Island,Hagerstown,11-8,"Dipoto, J","Goodson, D",final|,13,15,0.197,0.0
16.0,Jun  36:49 PM,Hagerstown,Lancaster,12-4,"Kickham, M","Killgore, K",final|,19,15,0.0,0.0192
16.0,Jun 106:37 PM,Gastonia,S Maryland,8-10,"Hennessey, J","Hardy, H",final|,16,16,0.0004,
16.0,Jun  36:35 PM,S Maryland,Long Island,3-4,"Nelson, B","Thompson, C",final|,15,16,,0.197
16.0,Jun  66:38 PM,S Maryland,High Point,1-3,"Barraclough, K","Vazquez, R",final|,16,17,,0.9672
16.0,May 276:42 PM,High Point,Charleston,5-0,"Emanuel, K","Hill, J",final|,19,16,0.9672,0.0008
16.0,May 307:03 PM,Lancaster,Staten Island,13-8,"Johnson, K","Barringer, S",final|,15,16,0.0192,0.0094
16.0,May 276:45 PM,Long Island,Lexington,16-7,"Sandberg, R","Wicklander, P",final|,14,16,0.197,0.0316
16.0,May 306:41 PM,Long Island,York,13-4,"Case, B","Churchill, I",final|,15,16,0.197,0.7744
16.0,May 276:31 PM,S Maryland,Gastonia,14-6,"Kahaloa, I","Underwood Jr., D",final|,17,16,,0.0004
17.0,May 2812:32 PM,S Maryland,Gastonia,12-8,"Willamson, N","Blanton, B",final|,18,17,,0.0004
17.0,May 316:34 PM,Lancaster,Staten Island,8-1,"Skirrow, N","Mahoney, J",final|,16,17,0.0192,0.0094
17.0,Jun  46:48 PM,Hagerstown,Lancaster,13-0,"Reitz, M","Green, M",final|,20,16,0.0,0.0192
17.0,May 2810:40 AM,High Point,Charleston,1-7,"Reyes, S","Scolaro, J",final|,20,17,0.9672,0.0008
17.0,Jun  46:36 PM,S Maryland,Long Island,4-7,"Hillman, J","Campbell, M",final|,19,17,,0.197
17.0,Jun  76:40 PM,S Maryland,High Point,10-7,"Thompson, C","Doyle, T",final|,20,18,,0.9672
17.0,May 286:48 PM,Long Island,Lexington,6-1,"Plesac, Z","Eastman, C",final|,16,17,0.197,0.0316
17.0,Jun  76:01 PM,Long Island,Hagerstown,3-0,"Asa, J","Picone, D",final|,17,16,0.197,0.0
17.0,Jun 116:36 PM,Gastonia,S Maryland,10-3,"Wells, N","Martin, G",final|,17,17,0.0004,
17.0,May 316:41 PM,Long Island,York,1-6,"Palm, T","Senger, M",final|,18,17,0.197,0.7744
18.0,Jun  84:06 PM,S Maryland,High Point,4-3,"Thurman, A","Casad, C",final|,21,19,,0.9672
18.0,Jun  82:06 PM,Long Island,Hagerstown,2-3,"Kickham, M","Alintoff, J",final|,19,17,0.197,0.0
18.0,May 296:45 PM,Long Island,Lexington,6-9,"Tully, T","Alintoff, J",final|,20,18,0.197,0.0316
18.0,May 297:01 PM,S Maryland,Gastonia,3-8,"Stem, C","Kelly, J",final|,22,18,,0.0004
18.0,Jun 126:40 PM,Gastonia,S Maryland,8-9,"Scrubb, A","Snyder, N",final|,18,18,0.0004,
18.0,Jun  11:34 PM,Lancaster,Staten Island,3-4,"Dunaway, M","Alexy, A",final|,17,18,0.0192,0.0094
18.0,May 296:40 PM,High Point,Charleston,6-2,"Solter, M","Henriquez, J",final|,21,18,0.9672,0.0008
18.0,Jun  56:35 PM,S Maryland,Long Island,9-2,"Martin, G","Griffin, D",final|,23,18,,0.197
18.0,Jun  11:04 PM,Long Island,York,3-11,"Pace, F","Sandberg, R",final|,21,18,0.197,0.7744
18.0,Jun  56:48 PM,Hagerstown,Lancaster,2-17,"Bremer, N","Saturria, M",final|,21,17,0.0,0.0192
19.0,Jun 136:34 PM,High Point,Long Island,3-1,"Emanuel, K","Beede, T",final|,22,19,0.9672,0.197
19.0,Jun 114:02 PM,High Point,Staten Island,5-4,"Solter, M","Baker, R",final|,23,19,0.9672,0.0094
19.0,Jun 185:02 PM,Staten Island,High Point,2-6,"Solter, M","Allegretti, C",final|,16,20,0.0094,0.9672
19.0,Jun 106:35 PM,York,Hagerstown,10-1,"Denz, D","Reitz, M",final|,16,18,0.7744,0.0
19.0,May 308:26 PM,Lexington,Charleston,6-7,"Del Prado, N","Lynch, J",final|,14,19,0.0316,0.0008
19.0,Jun  67:05 PM,York,Lexington,4-2,"Pace, F","Lynch, J",final|,17,19,0.7744,0.0316
19.0,Jun 136:45 PM,Lexington,S Maryland,0-4,"Semple, S","Ferrer, B",final|,15,19,0.0316,
19.0,Jun  36:31 PM,Lexington,Gastonia,1-2,"Horvath, N","Laio, N",final|,16,19,0.0316,0.0004
19.0,Jun  66:50 PM,Staten Island,Lancaster,7-18,"Skirrow, N","Kubo, T",final|,17,18,0.0094,0.0192
19.0,Jun  36:32 PM,Staten Island,York,10-3,"McSweeney, M","Scott, W",final|,18,19,0.0094,0.7744
20.0,Jun 117:10 PM,High Point,Staten Island,5-1,"Blair, D","Allegretti, C",final|,24,20,0.9672,0.0094
20.0,Jun 146:38 PM,Lexington,S Maryland,2-7,"Hennessey, J","Castillo, W",final|,17,20,0.0316,
20.0,Jun 116:33 PM,York,Hagerstown,9-2,"Horrell, M","Minaya, J",final|,18,19,0.7744,0.0
20.0,Jun 146:36 PM,High Point,Long Island,7-1,"Casad, C","Case, B",final|,25,20,0.9672,0.197
20.0,Jun  412:33 PM,Lexington,Gastonia,11-2,"Wicklander, P","Myatt, T",final|,18,20,0.0316,0.0004
20.0,Jun  46:37 PM,Staten Island,York,7-13,"Dula, H","Williamson, R",final|,19,20,0.0094,0.7744
20.0,Jun 187:48 PM,Staten Island,High Point,4-10,"Doyle, T","Mejia, A",final|,20,21,0.0094,0.9672
20.0,May 316:39 PM,Lexington,Charleston,4-11,"Lebron, D","Castillo, W",final|,19,20,0.0316,0.0008
20.0,Jun  77:00 PM,York,Lexington,9-8,"Dula, H","Acosta, J",final|,19,20,0.7744,0.0316
20.0,Jun  76:52 PM,Staten Island,Lancaster,8-11,"Rees, J","Barringer, S",final|,21,19,0.0094,0.0192
21.0,Jun 152:05 PM,Lexington,S Maryland,4-7,"Miller, J","Acosta, J",final|,20,21,0.0316,
21.0,Jun  56:31 PM,Lexington,Gastonia,6-5,"Eastman, C","Wells, N",final|,21,21,0.0316,0.0004
21.0,Jun 196:56 PM,Staten Island,High Point,11-6,"Barringer, S","Emanuel, K",final|,22,22,0.0094,0.9672
21.0,Jun  83:24 PM,Staten Island,Lancaster,5-9,"Lacey, S","Guzman, L",final|,23,20,0.0094,0.0192
21.0,Jun  82:03 PM,York,Lexington,7-8,"Loper, J","Churchill, I",final|,20,21,0.7744,0.0316
21.0,Jun 126:34 PM,York,Hagerstown,6-0,"Vallimont, C","Richardson, D",final|,21,20,0.7744,0.0
21.0,Jun 126:35 PM,High Point,Staten Island,6-5,"Branche, S","Baker, R",final|,26,21,0.9672,0.0094
21.0,Jun  13:08 PM,Lexington,Charleston,2-3,"Record, J","Haab, J",final|,22,21,0.0316,0.0008
21.0,Jun  55:02 PM,Staten Island,York,12-5,"Allegretti, C","Palm, T",final|,24,21,0.0094,0.7744
21.0,Jun 151:37 PM,High Point,Long Island,10-6,"Frontera, D","Hillman, J",final|,27,21,0.9672,0.197
22.0,Jun 206:48 PM,Long Island,Lancaster,2-8,"Killgore, K","Sandberg, R",final|,22,21,0.197,0.0192
22.0,Jun 206:37 PM,Charleston,Hagerstown,6-2,"Lebron, D","Kickham, M",final|,16,21,0.0008,0.0
22.0,Jun 176:34 PM,Lancaster,Long Island,4-8,"Griffin, D","Green, M",final|,18,22,0.0192,0.197
22.0,Jun 176:37 PM,Charleston,S Maryland,7-18,"Martin, G","Henriquez, J",final|,17,22,0.0008,
22.0,Jun 137:02 PM,Hagerstown,Staten Island,6-8,"Barringer, S","Picone, D",final|,22,22,0.0,0.0094
22.0,Jun 136:34 PM,Gastonia,York,2-3,"Denoyer, N","Hernández, A",final|,19,22,0.0004,0.7744
22.0,Jun 276:37 PM,Lancaster,High Point,4-7,"Branche, S","Diehl, P",final|,19,23,0.0192,0.9672
22.0,Jun  67:01 PM,Charleston,Gastonia,4-15,"Sheffield, J","Lebron, D",final|,18,22,0.0008,0.0004
22.0,Jun 106:39 PM,Long Island,Charleston,8-5,"Hillman, J","Henriquez, J",final|,23,22,0.197,0.0008
22.0,Jun 106:48 PM,Lancaster,Lexington,15-5,"Bremer, N","Laio, N",final|,20,22,0.0192,0.0316
23.0,Jun 146:35 PM,Gastonia,York,5-13,"Scott, W","Hartman, M",final|,20,23,0.0004,0.7744
23.0,Jun 216:48 PM,Long Island,Lancaster,7-8,"Bremer, N","Hillman, J",final|,24,22,0.197,0.0192
23.0,Jun 216:03 PM,Charleston,Hagerstown,6-7,"Kelly, R","Alvarez, M",final|,19,22,0.0008,0.0
23.0,Jun  77:03 PM,Charleston,Gastonia,6-7,"Underwood Jr., D","Hill, J",final|,20,23,0.0008,0.0004
23.0,Jun 186:41 PM,Charleston,S Maryland,1-16,"Kahaloa, I","Suriel, E",final|,21,23,0.0008,
23.0,Jun 186:36 PM,Lancaster,Long Island,1-6,"Alintoff, J","Skirrow, N",final|,21,23,0.0192,0.197
23.0,Jun 1112:09 PM,Long Island,Charleston,4-5,"Reyes, S","Nelson, B",final|,25,23,0.197,0.0008
23.0,Jun 286:36 PM,Lancaster,High Point,3-5,"Scolaro, J","Green, M",final|,22,24,0.0192,0.9672
23.0,Jun 146:43 PM,Hagerstown,Staten Island,1-0,"Kickham, M","McSweeney, M",final|,23,23,0.0,0.0094
23.0,Jun 116:46 PM,Lancaster,Lexington,1-4,"Wicklander, P","Green, M",final|,23,23,0.0192,0.0316
24.0,Jun 222:05 PM,Charleston,Hagerstown,2-4,"Richardson, D","Romero, L",final|,22,23,0.0008,0.0
24.0,Jun 151:05 PM,Gastonia,York,14-7,"Blanton, B","Denz, D",final|,21,24,0.0004,0.7744
24.0,Jun 126:46 PM,Lancaster,Lexington,2-4,"Eastman, C","Skirrow, N",final|,24,24,0.0192,0.0316
24.0,Jun  84:02 PM,Charleston,Gastonia,11-8,"Lusk, L","Wilson, J",final|,23,24,0.0008,0.0004
24.0,Jun 196:35 PM,Charleston,S Maryland,,,,Postponed to:n/a,24,24,0.0008,
24.0,Jun 222:03 PM,Long Island,Lancaster,6-7,"Rees, J","Asa, J",final|,26,23,0.197,0.0192
